cdc_id,title,public_domain,source_md,knowledge_base_file,landing_page,status
20203,"Variation in Quality of Diabetes Care at the Levels of Patient, Physician, and Clinic",True,cdc_20203_DS1.md,cdc_20203.md,https://stacks.cdc.gov/view/cdc/20203,copied
20165,From Program to Policy: Expanding the Role of Community Coalitions,True,cdc_20165_DS1.md,cdc_20165.md,https://stacks.cdc.gov/view/cdc/20165,copied
20117,"Mexican Americans With Type 2 Diabetes: Perspectives on Definitions, Motivators, and Programs of Physical Activity",True,cdc_20117_DS1.md,cdc_20117.md,https://stacks.cdc.gov/view/cdc/20117,copied
20102,Modifiable Risk Factors for Developing Diabetes Among Women With Previous Gestational Diabetes,True,cdc_20102_DS1.md,cdc_20102.md,https://stacks.cdc.gov/view/cdc/20102,copied
20101,The Epidemic of Extreme Obesity Among American Indian and Alaska Native Adults With Diabetes,True,cdc_20101_DS1.md,cdc_20101.md,https://stacks.cdc.gov/view/cdc/20101,copied
20106,The Healthy Diabetes Plate,True,cdc_20106_DS1.md,cdc_20106.md,https://stacks.cdc.gov/view/cdc/20106,copied
20083,Identifying Supports and Barriers to Physical Activity in Patients at Risk for Diabetes,True,cdc_20083_DS1.md,cdc_20083.md,https://stacks.cdc.gov/view/cdc/20083,copied
20039,Cherokee Choices: A Diabetes Prevention Program for American Indians,True,cdc_20039_DS1.md,cdc_20039.md,https://stacks.cdc.gov/view/cdc/20039,copied
20068,A Church-based Diabetes Self-management Education Program for African Americans With Type 2 Diabetes,True,cdc_20068_DS1.md,cdc_20068.md,https://stacks.cdc.gov/view/cdc/20068,copied
19997,Barriers to Diabetes Self-management Education Programs in Underserved Rural Arkansas: Implications for Program Evaluation,True,cdc_19997_DS1.md,cdc_19997.md,https://stacks.cdc.gov/view/cdc/19997,copied
4090,The Annual African American Conference on Diabetes: Evolving Program Evaluation With Evolving Program Implementation,False,cdc_4090_DS1.md,,https://stacks.cdc.gov/view/cdc/4090,excluded_not_public_domain
4092,Development of the Diabetes Indicators and Data Sources Internet Tool (DIDIT),True,cdc_4092_DS1.md,cdc_4092.md,https://stacks.cdc.gov/view/cdc/4092,copied
4095,A Six-Step Model for Evaluation of Community-based Physical Activity Programs,True,cdc_4095_DS1.md,cdc_4095.md,https://stacks.cdc.gov/view/cdc/4095,copied
19890,Toward Prevention and Control of Type 2 Diabetes: Challenges at the U.S.-Mexico Border and Beyond1,True,cdc_19890_DS1.md,cdc_19890.md,https://stacks.cdc.gov/view/cdc/19890,copied
4069,Predictors of Dropouts From a San Diego Diabetes Program: A Case Control Study,True,cdc_4069_DS1.md,cdc_4069.md,https://stacks.cdc.gov/view/cdc/4069,copied
