cdc_id,PID,title,authors,publication_date,landing_page,pdf_url,local_pdf,screening_status,prevention_score,treatment_score
49460,cdc:49460,"Using Geographical Convergence of Obesity, Cardiovascular Disease, and Type 2 Diabetes at the Neighborhood Level to Inform Policy and Practice","Smurthwaite\, Kayla,Bagheri\, Nasser",,https://stacks.cdc.gov/view/cdc/49460,https://stacks.cdc.gov/view/cdc/49460/cdc_49460_DS1.pdf,source_documents/cdc_49460.pdf,Include,5,0
40762,cdc:40762,"Using Qualitative Methods to Understand Physical Activity and Weight Management Among Bangladeshis in New York City, 2013","Riley\, Lindsey,Mili\, Saima,Trinh-Shevrin\, Chau,Islam\, Nadia",,https://stacks.cdc.gov/view/cdc/40762,https://stacks.cdc.gov/view/cdc/40762/cdc_40762_DS1.pdf,source_documents/cdc_40762.pdf,Include,5,0
24740,cdc:24740,"The Geography of Diabetes by Census Tract in a Large Sample of Insured Adults in King County, Washington, 2005–2006","Drewnowski\, Adam,Rehm\, Colin D.,Moudon\, Anne V.,Arterburn\, David",,https://stacks.cdc.gov/view/cdc/24740,https://stacks.cdc.gov/view/cdc/24740/cdc_24740_DS1.pdf,source_documents/cdc_24740.pdf,Include,5,0
19711,cdc:19711,"Independent Association of Waist Circumference With Hypertension and Diabetes in African American Women, South Carolina, 2007–2009","Warren\, Tatiana Y.,Wilcox\, Sara,Dowda\, Marsha,Baruth\, Meghan",,https://stacks.cdc.gov/view/cdc/19711,https://stacks.cdc.gov/view/cdc/19711/cdc_19711_DS1.pdf,source_documents/cdc_19711.pdf,Include,5,0
20205,cdc:20205,"Obesity and Diabetes in Jordan: Findings From the Behavioral Risk Factor Surveillance System, 2004","Walke\, Henry,Mokdad\, Ali H,Zindah\, Meyasser,Belbeisi\, Adel",,https://stacks.cdc.gov/view/cdc/20205,https://stacks.cdc.gov/view/cdc/20205/cdc_20205_DS1.pdf,source_documents/cdc_20205.pdf,Include,5,0
19997,cdc:19997,Barriers to Diabetes Self-management Education Programs in Underserved Rural Arkansas: Implications for Program Evaluation,"Balamurugan\, Appathurai,Rivera\, Mark,Jack\, Leonard,Morris\, Sharon,Allen\, Kristen",,https://stacks.cdc.gov/view/cdc/19997,https://stacks.cdc.gov/view/cdc/19997/cdc_19997_DS1.pdf,source_documents/cdc_19997.pdf,Include,5,3
4090,cdc:4090,The Annual African American Conference on Diabetes: Evolving Program Evaluation With Evolving Program Implementation,"Houston\, Jacquelyn M,Martin\, Maurice,Williams\, Joel E,Hill\, Rhonda L",,https://stacks.cdc.gov/view/cdc/4090,https://stacks.cdc.gov/view/cdc/4090/cdc_4090_DS1.pdf,source_documents/cdc_4090.pdf,Include,5,3
36133,cdc:36133,"The State of Evaluation Research on Food Policies to Reduce Obesity and Diabetes Among Adults in the United States, 2000–2011","Freudenberg\, Nicholas,Franzosa\, Emily,Sohler\, Nancy,Li\, Rui,Devlin\, Heather,Albu\, Jeanine",,https://stacks.cdc.gov/view/cdc/36133,https://stacks.cdc.gov/view/cdc/36133/cdc_36133_DS1.pdf,source_documents/cdc_36133.pdf,Maybe,4,0
19713,cdc:19713,"South Asian American Perspectives on Overweight, Obesity, and the Relationship Between Weight and Health","Tang\, Joyce W.,Mason\, Maryann,Kushner\, Robert F.,Tirodkar\, Manasi A.,Khurana\, Neerja,Kandula\, Namratha R.",,https://stacks.cdc.gov/view/cdc/19713,https://stacks.cdc.gov/view/cdc/19713/cdc_19713_DS1.pdf,source_documents/cdc_19713.pdf,Maybe,4,0
20541,cdc:20541,"Prevalence of Diabetes and Impaired Fasting Glucose in Chinese Adults, China National Nutrition and Health Survey, 2002","Liu\, Shuqian,Wang\, Wenyu,Yang\, Xiaoguang,Lee\, Elisa T.,Zhang\, Jian,He\, Yuna,Piao\, Jianhua,Yao\, Chonghua,Zeng\, Zhechun,Howard\, Barbara V.,Fabsitz\, Richard R.,Best\, Lyle",,https://stacks.cdc.gov/view/cdc/20541,https://stacks.cdc.gov/view/cdc/20541/cdc_20541_DS1.pdf,source_documents/cdc_20541.pdf,Maybe,4,0
